,longitude,latitude,depth,county,prefmag,geo_region,well_distance,rup_area,radius,wells_qty
25818,-97.66866667,36.70116667,8.2,Grant,1.8,9,9.42585964,0.01,0.36,0
25819,-97.54983333,34.76883333,6.73,Garvin,1.5,7,0.369159487,0.01,0.23,4
25820,-97.899,35.42183333,5.57,Canadian,1.4,7,1.888550209,0.01,0.19,0
25821,-97.208,36.2535,3.11,Noble,1.4,7,3.797536553,0.01,0.14,0
25822,-97.92666667,36.07233333,7,Kingfisher,0.5,9,2.115837513,0,0.07,0
25823,-97.91616667,35.41616667,7.75,Canadian,1.7,9,0.356436689,0.01,0.31,2
25824,-96.74183333,36.271,4.85,Pawnee,1.8,3,0.944092579,0.01,0.28,1
25825,-96.87233333,36.46466667,4.29,Pawnee,1.7,3,2.096203991,0.01,0.23,0
25826,-96.87533333,36.44533333,3.98,Pawnee,1.6,9,0.819697918,0.01,0.2,0
25827,-98.60453796,35.34479523,28.77,Custer,2,9,1.46613975,0.02,0.85,1
25828,-96.82,36.407,4.23,Pawnee,1.2,3,2.238952289,0,0.13,0
25829,-96.80583333,35.98833333,6,Payne,1.9,3,1.356394396,0.02,0.35,0
25830,-96.3085,35.1045,5,Hughes,3,3,1.865856508,0.17,1.12,0
25831,-97.901,35.4305,5.08,Canadian,2.2,7,2.41692938,0.03,0.45,0
25832,-97.90666667,35.41266667,5,Canadian,2.4,7,0.917888337,0.05,0.56,0
25833,-97.31166667,36.00066667,7.23,Logan,3,7,0.123380171,0.17,1.35,4
25834,-97.05666667,36.13083333,7.49,Payne,1.5,3,4.203056403,0.01,0.24,0
25835,-97.11833333,36.363,5.9,Noble,1.5,7,3.656020434,0.01,0.22,0
25836,-98.763,36.21283333,7.18,Dewey,1.6,9,1.673188631,0.01,0.27,0
25837,-98.0735,36.34616667,6.76,Garfield,1.8,7,1.833719944,0.01,0.33,0
25840,-97.91516667,35.41033333,7,Canadian,1.3,7,0.331137485,0,0.19,3
25841,-97.88266667,35.46816667,6,Canadian,1.7,7,0.843715074,0.01,0.27,1
25842,-97.42933333,36.87666667,7.59,Kay,2.4,7,3.287530388,0.05,0.69,0
25843,-96.29983333,35.09383333,5,Hughes,2,3,0.483270575,0.02,0.35,3
25844,-97.9165,35.3945,9.92,Canadian,2.5,7,2.059942939,0.06,0.89,0
25845,-97.425,36.88066667,8.03,Kay,2.3,7,2.94197356,0.04,0.63,0
25846,-97.43066667,36.87916667,8.19,Kay,1.9,7,2.995127381,0.02,0.4,0
25847,-98.773,36.4605,7.83,Major,1.9,9,2.935992563,0.02,0.4,0
25848,-98.24483333,36.83816667,6.5,Alfalfa,2.4,9,2.10006416,0.05,0.64,0
25849,-97.43466667,36.87083333,5,Kay,2.2,7,3.897408075,0.03,0.45,0
25850,-97.42833333,36.88033333,7.93,Kay,2.3,7,2.901999996,0.04,0.63,0
25851,-96.30866667,35.099,3,Hughes,1.7,3,1.356027808,0.01,0.19,0
25852,-96.77016667,36.07466667,7.19,Payne,2,9,1.530625586,0.02,0.42,0
25853,-97.55866667,34.78183333,7,Garvin,1.5,7,1.080227748,0.01,0.24,0
25854,-97.51233333,34.75716667,7,Garvin,1.7,7,1.959308156,0.01,0.3,0
25855,-97.3365,35.88816667,6.79,Logan,2,7,8.449080141,0.02,0.41,0
25856,-98.79783333,36.4465,7.87,Major,1.7,9,2.448351602,0.01,0.31,0
25857,-98.792,35.695,6.99,Custer,1.9,9,2.858604929,0.02,0.37,0
25858,-98.79866667,35.69833333,7.19,Custer,2.3,9,2.186257699,0.04,0.6,0
25859,-98.817,35.7025,5.46,Custer,1.5,7,0.494250515,0.01,0.21,2
25860,-97.55333333,34.772,6.03,Garvin,2.2,7,0.7137391,0.03,0.49,2
25861,-98.633,36.54516667,7.02,Woods,1.7,9,2.238074568,0.01,0.3,0
25862,-97.80816667,35.87066667,7,Kingfisher,1.4,7,1.456140885,0.01,0.21,0
